sura,books_revelation,commerce_economics,communication,creation_nature,divine_attributes,emotions_states,faith_belief,family_relations,knowledge_wisdom,moral_conduct,movement_direction,natural_elements,social_justice,time_temporal,uncategorized,worship_ritual
20,0.014336917562724014,0.0,0.07407407407407407,0.025089605734767026,0.026284348864994027,0.019115890083632018,0.0011947431302270011,0.009557945041816009,0.0011947431302270011,0.0035842293906810036,0.014336917562724014,0.011947431302270013,0.007168458781362007,0.010752688172043012,0.7610513739545998,0.02031063321385902
21,0.018156424581005588,0.0,0.05865921787709497,0.06983240223463687,0.05726256983240224,0.006983240223463687,0.009776536312849162,0.0111731843575419,0.00558659217877095,0.008379888268156424,0.013966480446927373,0.01675977653631285,0.0335195530726257,0.008379888268156424,0.6396648044692738,0.04189944134078212
22,0.012106537530266344,0.004842615012106538,0.014527845036319613,0.026634382566585957,0.03753026634382567,0.002421307506053269,0.01694915254237288,0.0036319612590799033,0.0012106537530266344,0.006053268765133172,0.010895883777239709,0.025423728813559324,0.021791767554479417,0.012106537530266344,0.7699757869249395,0.03389830508474576
23,0.02040816326530612,0.0015698587127158557,0.06593406593406594,0.058084772370486655,0.029827315541601257,0.0015698587127158557,0.007849293563579277,0.006279434850863423,0.0031397174254317113,0.0141287284144427,0.009419152276295133,0.006279434850863423,0.02511773940345369,0.012558869701726845,0.717425431711146,0.02040816326530612
24,0.010477299185098952,0.006984866123399301,0.020954598370197905,0.02677532013969732,0.0570430733410943,0.008149010477299184,0.008149010477299184,0.0034924330616996507,0.0011641443538998836,0.011641443538998836,0.010477299185098952,0.018626309662398137,0.010477299185098952,0.008149010477299184,0.7729918509895227,0.024447031431897557
25,0.01644736842105263,0.001644736842105263,0.05263157894736842,0.07730263157894737,0.03453947368421053,0.0,0.011513157894736841,0.003289473684210526,0.001644736842105263,0.011513157894736841,0.006578947368421052,0.014802631578947368,0.01644736842105263,0.01644736842105263,0.7039473684210527,0.03125
26,0.013398294762484775,0.00243605359317905,0.0730816077953715,0.06090133982947625,0.06090133982947625,0.0048721071863581,0.0036540803897685747,0.0097442143727162,0.001218026796589525,0.020706455542021926,0.001218026796589525,0.0060901339829476245,0.012180267965895249,0.013398294762484775,0.6991473812423873,0.01705237515225335
27,0.009497964721845319,0.0,0.07327001356852103,0.05563093622795115,0.04748982360922659,0.009497964721845319,0.014925373134328358,0.008141112618724558,0.0027137042062415195,0.017639077340569877,0.013568521031207599,0.017639077340569877,0.0203527815468114,0.004070556309362279,0.6879240162822252,0.017639077340569877
28,0.013605442176870748,0.0011337868480725624,0.06689342403628118,0.06462585034013606,0.032879818594104306,0.018140589569160998,0.012471655328798186,0.01020408163265306,0.0022675736961451248,0.005668934240362812,0.007936507936507936,0.0045351473922902496,0.024943310657596373,0.015873015873015872,0.7052154195011338,0.013605442176870748
29,0.028708133971291867,0.003189792663476874,0.046251993620414676,0.04784688995215311,0.05582137161084529,0.003189792663476874,0.019138755980861243,0.011164274322169059,0.004784688995215311,0.017543859649122806,0.009569377990430622,0.017543859649122806,0.025518341307814992,0.007974481658692184,0.6794258373205742,0.022328548644338118
30,0.007575757575757576,0.015151515151515152,0.013257575757575758,0.07196969696969698,0.04734848484848485,0.013257575757575758,0.03598484848484849,0.003787878787878788,0.011363636363636364,0.007575757575757576,0.00946969696969697,0.017045454545454544,0.022727272727272728,0.015151515151515152,0.6950757575757576,0.013257575757575758
31,0.017045454545454544,0.005681818181818182,0.036931818181818184,0.028409090909090908,0.056818181818181816,0.008522727272727272,0.022727272727272728,0.019886363636363636,0.0,0.017045454545454544,0.011363636363636364,0.028409090909090908,0.017045454545454544,0.008522727272727272,0.7045454545454546,0.017045454545454544
